"REGION","CLIMATE","STATE","TOTAL_HOUSEHOLDS","HEATER_FUEL_TYPE","NUM_HOUSEHOLDS","PERCENTAGE"
"MIDWEST","MIXED-HUMID","MISSOURI",2429813,"PROPANE",160653,6.6
"MIDWEST","MIXED-HUMID","MISSOURI",2429813,"FUEL OIL",0,0
"MIDWEST","MIXED-HUMID","MISSOURI",2429813,"ELECTRICITY",754239,31
"MIDWEST","MIXED-HUMID","MISSOURI",2429813,"WOOD OR PELLETS",61365,2.5
"MIDWEST","MIXED-HUMID","MISSOURI",2429813,"OTHER",0,0
"WEST","COLD","MONTANA",433329,"DO NOT USE HEATER",0,0
"WEST","COLD","MONTANA",433329,"NATURAL GAS",254459,58.7
"WEST","COLD","MONTANA",433329,"PROPANE",37532,8.7
"WEST","COLD","MONTANA",433329,"FUEL OIL",4652,1.1
"WEST","COLD","MONTANA",433329,"ELECTRICITY",105173,24.3
"WEST","COLD","MONTANA",433329,"WOOD OR PELLETS",31513,7.3
"WEST","COLD","MONTANA",433329,"OTHER",0,0
"MIDWEST","COLD","NEBRASKA",765201,"DO NOT USE HEATER",5010,0.7
"MIDWEST","COLD","NEBRASKA",765201,"NATURAL GAS",530057,69.3
"MIDWEST","COLD","NEBRASKA",765201,"PROPANE",27713,3.6
"MIDWEST","COLD","NEBRASKA",765201,"FUEL OIL",0,0
"MIDWEST","COLD","NEBRASKA",765201,"ELECTRICITY",186741,24.4
"MIDWEST","COLD","NEBRASKA",765201,"WOOD OR PELLETS",15679,2
"MIDWEST","COLD","NEBRASKA",765201,"OTHER",0,0
"WEST","HOT-DRY","NEVADA",1139409,"DO NOT USE HEATER",38112,3.3
"WEST","HOT-DRY","NEVADA",1139409,"NATURAL GAS",780480,68.5
"WEST","HOT-DRY","NEVADA",1139409,"PROPANE",42539,3.7
"WEST","HOT-DRY","NEVADA",1139409,"FUEL OIL",0,0
"WEST","HOT-DRY","NEVADA",1139409,"ELECTRICITY",264975,23.3
"WEST","HOT-DRY","NEVADA",1139409,"WOOD OR PELLETS",13303,1.2
"WEST","HOT-DRY","NEVADA",1139409,"OTHER",0,0
"NORTHEAST","COLD","NEW HAMPSHIRE",538443,"DO NOT USE HEATER",0,0
"NORTHEAST","COLD","NEW HAMPSHIRE",538443,"NATURAL GAS",153136,28.4
"NORTHEAST","COLD","NEW HAMPSHIRE",538443,"PROPANE",79517,14.8
"NORTHEAST","COLD","NEW HAMPSHIRE",538443,"FUEL OIL",215720,40.1
"NORTHEAST","COLD","NEW HAMPSHIRE",538443,"ELECTRICITY",47107,8.8
"NORTHEAST","COLD","NEW HAMPSHIRE",538443,"WOOD OR PELLETS",42963,8
"NORTHEAST","COLD","NEW HAMPSHIRE",538443,"OTHER",0,0
"NORTHEAST","MIXED-HUMID","NEW JERSEY",3393983,"DO NOT USE HEATER",16980,0.5
"NORTHEAST","MIXED-HUMID","NEW JERSEY",3393983,"NATURAL GAS",2550070,75.1
"NORTHEAST","MIXED-HUMID","NEW JERSEY",3393983,"PROPANE",36293,1.1
"NORTHEAST","MIXED-HUMID","NEW JERSEY",3393983,"FUEL OIL",229638,6.8
"NORTHEAST","MIXED-HUMID","NEW JERSEY",3393983,"ELECTRICITY",547561,16.1
"NORTHEAST","MIXED-HUMID","NEW JERSEY",3393983,"WOOD OR PELLETS",13443,0.4
"NORTHEAST","MIXED-HUMID","NEW JERSEY",3393983,"OTHER",0,0
"WEST","MIXED-DRY","NEW MEXICO",787053,"DO NOT USE HEATER",0,0
"WEST","MIXED-DRY","NEW MEXICO",787053,"NATURAL GAS",596904,75.8
"WEST","MIXED-DRY","NEW MEXICO",787053,"PROPANE",38517,4.9
"WEST","MIXED-DRY","NEW MEXICO",787053,"FUEL OIL",0,0
"WEST","MIXED-DRY","NEW MEXICO",787053,"ELECTRICITY",103486,13.2
"WEST","MIXED-DRY","NEW MEXICO",787053,"WOOD OR PELLETS",48146,6.1
"WEST","MIXED-DRY","NEW MEXICO",787053,"OTHER",0,0
"NORTHEAST","COLD","NEW YORK",7521120,"DO NOT USE HEATER",82412,1.1
"NORTHEAST","COLD","NEW YORK",7521120,"NATURAL GAS",4570083,60.8
"NORTHEAST","COLD","NEW YORK",7521120,"PROPANE",316821,4.2
"NORTHEAST","COLD","NEW YORK",7521120,"FUEL OIL",1247299,16.6
"NORTHEAST","COLD","NEW YORK",7521120,"ELECTRICITY",1193835,15.9
"NORTHEAST","COLD","NEW YORK",7521120,"WOOD OR PELLETS",84719,1.1
"NORTHEAST","COLD","NEW YORK",7521120,"OTHER",25951,0.3
"SOUTH","MIXED-HUMID","NORTH CAROLINA",4012739,"DO NOT USE HEATER",42605,1.1
"SOUTH","MIXED-HUMID","NORTH CAROLINA",4012739,"NATURAL GAS",1161367,28.9
"SOUTH","MIXED-HUMID","NORTH CAROLINA",4012739,"PROPANE",162719,4.1
"SOUTH","MIXED-HUMID","NORTH CAROLINA",4012739,"FUEL OIL",73796,1.8
"SOUTH","MIXED-HUMID","NORTH CAROLINA",4012739,"ELECTRICITY",2504309,62.4
"SOUTH","MIXED-HUMID","NORTH CAROLINA",4012739,"WOOD OR PELLETS",67942,1.7
"SOUTH","MIXED-HUMID","NORTH CAROLINA",4012739,"OTHER",0,0
"MIDWEST","VERY-COLD","NORTH DAKOTA",315573,"DO NOT USE HEATER",3128,1
"MIDWEST","VERY-COLD","NORTH DAKOTA",315573,"NATURAL GAS",144306,45.7
"MIDWEST","VERY-COLD","NORTH DAKOTA",315573,"PROPANE",46850,14.8
"MIDWEST","VERY-COLD","NORTH DAKOTA",315573,"FUEL OIL",11357,3.6
"MIDWEST","VERY-COLD","NORTH DAKOTA",315573,"ELECTRICITY",106973,33.9
"MIDWEST","VERY-COLD","NORTH DAKOTA",315573,"WOOD OR PELLETS",2016,0.6
"MIDWEST","VERY-COLD","NORTH DAKOTA",315573,"OTHER",944,0.3
"MIDWEST","COLD","OHIO",4739001,"DO NOT USE HEATER",23565,0.5
"MIDWEST","COLD","OHIO",4739001,"NATURAL GAS",3033454,64
"MIDWEST","COLD","OHIO",4739001,"PROPANE",341894,7.2
"MIDWEST","COLD","OHIO",4739001,"FUEL OIL",118830,2.5
"MIDWEST","COLD","OHIO",4739001,"ELECTRICITY",1111155,23.4
"MIDWEST","COLD","OHIO",4739001,"WOOD OR PELLETS",110104,2.3
"MIDWEST","COLD","OHIO",4739001,"OTHER",0,0
"SOUTH","MIXED-HUMID","OKLAHOMA",1492833,"DO NOT USE HEATER",48919,3.3
"SOUTH","MIXED-HUMID","OKLAHOMA",1492833,"NATURAL GAS",774606,51.9
"SOUTH","MIXED-HUMID","OKLAHOMA",1492833,"PROPANE",52900,3.5
"SOUTH","MIXED-HUMID","OKLAHOMA",1492833,"FUEL OIL",0,0
"SOUTH","MIXED-HUMID","OKLAHOMA",1492833,"ELECTRICITY",578479,38.8
"SOUTH","MIXED-HUMID","OKLAHOMA",1492833,"WOOD OR PELLETS",37928,2.5
"SOUTH","MIXED-HUMID","OKLAHOMA",1492833,"OTHER",0,0
"WEST","MARINE","OREGON",1654154,"DO NOT USE HEATER",26626,1.6
"WEST","MARINE","OREGON",1654154,"NATURAL GAS",684721,41.4
"WEST","MARINE","OREGON",1654154,"PROPANE",32032,1.9
"WEST","MARINE","OREGON",1654154,"FUEL OIL",26429,1.6
"WEST","MARINE","OREGON",1654154,"ELECTRICITY",742405,44.9
"WEST","MARINE","OREGON",1654154,"WOOD OR PELLETS",141942,8.6
"WEST","MARINE","OREGON",1654154,"OTHER",0,0
"NORTHEAST","COLD","PENNSYLVANIA",5128400,"DO NOT USE HEATER",7903,0.1
"NORTHEAST","COLD","PENNSYLVANIA",5128400,"NATURAL GAS",2643107,51.5
"NORTHEAST","COLD","PENNSYLVANIA",5128400,"PROPANE",291269,5.7
"NORTHEAST","COLD","PENNSYLVANIA",5128400,"FUEL OIL",646916,12.6
"NORTHEAST","COLD","PENNSYLVANIA",5128400,"ELECTRICITY",1341690,26.2
"NORTHEAST","COLD","PENNSYLVANIA",5128400,"WOOD OR PELLETS",174607,3.4
"NORTHEAST","COLD","PENNSYLVANIA",5128400,"OTHER",22908,0.4
"NORTHEAST","COLD","RHODE ISLAND",418689,"DO NOT USE HEATER",1918,0.5
"NORTHEAST","COLD","RHODE ISLAND",418689,"NATURAL GAS",220615,52.7
"NORTHEAST","COLD","RHODE ISLAND",418689,"PROPANE",6153,1.5
"NORTHEAST","COLD","RHODE ISLAND",418689,"FUEL OIL",129692,31
"NORTHEAST","COLD","RHODE ISLAND",418689,"ELECTRICITY",53228,12.7
"NORTHEAST","COLD","RHODE ISLAND",418689,"WOOD OR PELLETS",7083,1.7
"NORTHEAST","COLD","RHODE ISLAND",418689,"OTHER",0,0
"SOUTH","MIXED-HUMID","SOUTH CAROLINA",1970536,"DO NOT USE HEATER",37760,1.9
"SOUTH","MIXED-HUMID","SOUTH CAROLINA",1970536,"NATURAL GAS",544550,27.6
"SOUTH","MIXED-HUMID","SOUTH CAROLINA",1970536,"PROPANE",100542,5.1
"SOUTH","MIXED-HUMID","SOUTH CAROLINA",1970536,"FUEL OIL",5779,0.3
"SOUTH","MIXED-HUMID","SOUTH CAROLINA",1970536,"ELECTRICITY",1263726,64.1
"SOUTH","MIXED-HUMID","SOUTH CAROLINA",1970536,"WOOD OR PELLETS",18180,0.9
"SOUTH","MIXED-HUMID","SOUTH CAROLINA",1970536,"OTHER",0,0
"MIDWEST","COLD","SOUTH DAKOTA",346425,"DO NOT USE HEATER",6969,2
"MIDWEST","COLD","SOUTH DAKOTA",346425,"NATURAL GAS",199455,57.6
"MIDWEST","COLD","SOUTH DAKOTA",346425,"PROPANE",47174,13.6
"MIDWEST","COLD","SOUTH DAKOTA",346425,"FUEL OIL",4230,1.2
"MIDWEST","COLD","SOUTH DAKOTA",346425,"ELECTRICITY",85027,24.5
"MIDWEST","COLD","SOUTH DAKOTA",346425,"WOOD OR PELLETS",3570,1
"MIDWEST","COLD","SOUTH DAKOTA",346425,"OTHER",0,0
"SOUTH","MIXED-HUMID","TENNESSEE",2657514,"DO NOT USE HEATER",14720,0.6
"SOUTH","MIXED-HUMID","TENNESSEE",2657514,"NATURAL GAS",920889,34.6
"SOUTH","MIXED-HUMID","TENNESSEE",2657514,"PROPANE",81986,3.1
"SOUTH","MIXED-HUMID","TENNESSEE",2657514,"FUEL OIL",9150,0.3
"SOUTH","MIXED-HUMID","TENNESSEE",2657514,"ELECTRICITY",1606685,60.5
"SOUTH","MIXED-HUMID","TENNESSEE",2657514,"WOOD OR PELLETS",24084,0.9
"SOUTH","MIXED-HUMID","TENNESSEE",2657514,"OTHER",0,0
"SOUTH","HOT-HUMID","TEXAS",10255403,"DO NOT USE HEATER",438486,4.3
"SOUTH","HOT-HUMID","TEXAS",10255403,"NATURAL GAS",4280518,41.7
"SOUTH","HOT-HUMID","TEXAS",10255403,"PROPANE",227929,2.2
"SOUTH","HOT-HUMID","TEXAS",10255403,"FUEL OIL",0,0
"SOUTH","HOT-HUMID","TEXAS",10255403,"ELECTRICITY",5269923,51.4
"SOUTH","HOT-HUMID","TEXAS",10255403,"WOOD OR PELLETS",38547,0.4
"SOUTH","HOT-HUMID","TEXAS",10255403,"OTHER",0,0
"WEST","COLD","UTAH",1039997,"DO NOT USE HEATER",0,0
"WEST","COLD","UTAH",1039997,"NATURAL GAS",898647,86.4
"WEST","COLD","UTAH",1039997,"PROPANE",7724,0.7
"WEST","COLD","UTAH",1039997,"FUEL OIL",0,0
"WEST","COLD","UTAH",1039997,"ELECTRICITY",133625,12.8
"WEST","COLD","UTAH",1039997,"WOOD OR PELLETS",0,0
"WEST","COLD","UTAH",1039997,"OTHER",0,0
"NORTHEAST","COLD","VERMONT",258824,"DO NOT USE HEATER",1833,0.7
"NORTHEAST","COLD","VERMONT",258824,"NATURAL GAS",54853,21.2
"NORTHEAST","COLD","VERMONT",258824,"PROPANE",34804,13.4
"NORTHEAST","COLD","VERMONT",258824,"FUEL OIL",119327,46.1
"NORTHEAST","COLD","VERMONT",258824,"ELECTRICITY",16602,6.4
"NORTHEAST","COLD","VERMONT",258824,"WOOD OR PELLETS",31404,12.1
"NORTHEAST","COLD","VERMONT",258824,"OTHER",0,0
"SOUTH","MIXED-HUMID","VIRGINIA",3242014,"DO NOT USE HEATER",7525,0.2
"SOUTH","MIXED-HUMID","VIRGINIA",3242014,"NATURAL GAS",1181500,36.4
"SOUTH","MIXED-HUMID","VIRGINIA",3242014,"PROPANE",147050,4.5
"SOUTH","MIXED-HUMID","VIRGINIA",3242014,"FUEL OIL",140909,4.3
"SOUTH","MIXED-HUMID","VIRGINIA",3242014,"ELECTRICITY",1627404,50.2
"SOUTH","MIXED-HUMID","VIRGINIA",3242014,"WOOD OR PELLETS",137626,4.2
"SOUTH","MIXED-HUMID","VIRGINIA",3242014,"OTHER",0,0
"WEST","COLD","WASHINGTON",2939032,"DO NOT USE HEATER",69979,2.4
"WEST","COLD","WASHINGTON",2939032,"NATURAL GAS",1085612,36.9
"WEST","COLD","WASHINGTON",2939032,"PROPANE",55695,1.9
"WEST","COLD","WASHINGTON",2939032,"FUEL OIL",5687,0.2
"WEST","COLD","WASHINGTON",2939032,"ELECTRICITY",1629942,55.5
"WEST","COLD","WASHINGTON",2939032,"WOOD OR PELLETS",92118,3.1
"WEST","COLD","WASHINGTON",2939032,"OTHER",0,0
"SOUTH","COLD","WEST VIRGINIA",696161,"DO NOT USE HEATER",3936,0.6
"SOUTH","COLD","WEST VIRGINIA",696161,"NATURAL GAS",301583,43.3
"SOUTH","COLD","WEST VIRGINIA",696161,"PROPANE",28022,4
"SOUTH","COLD","WEST VIRGINIA",696161,"FUEL OIL",18190,2.6
"SOUTH","COLD","WEST VIRGINIA",696161,"ELECTRICITY",310777,44.6
"SOUTH","COLD","WEST VIRGINIA",696161,"WOOD OR PELLETS",33653,4.8
"SOUTH","COLD","WEST VIRGINIA",696161,"OTHER",0,0
"MIDWEST","COLD","WISCONSIN",2388876,"DO NOT USE HEATER",15760,0.7
"MIDWEST","COLD","WISCONSIN",2388876,"NATURAL GAS",1705772,71.4
"MIDWEST","COLD","WISCONSIN",2388876,"PROPANE",240096,10.1
"MIDWEST","COLD","WISCONSIN",2388876,"FUEL OIL",29747,1.2
"MIDWEST","COLD","WISCONSIN",2388876,"ELECTRICITY",332123,13.9
"MIDWEST","COLD","WISCONSIN",2388876,"WOOD OR PELLETS",65378,2.7
"MIDWEST","COLD","WISCONSIN",2388876,"OTHER",0,0
"WEST","COLD","WYOMING",226146,"DO NOT USE HEATER",0,0
"WEST","COLD","WYOMING",226146,"NATURAL GAS",159532,70.5
"WEST","COLD","WYOMING",226146,"PROPANE",18198,8.1
"WEST","COLD","WYOMING",226146,"FUEL OIL",0,0
"WEST","COLD","WYOMING",226146,"ELECTRICITY",40122,17.7
"WEST","COLD","WYOMING",226146,"WOOD OR PELLETS",8295,3.7
"WEST","COLD","WYOMING",226146,"OTHER",0,0
